iter	Passed	Remaining
0	222	2226098
1	262	1310624
2	335	1119332
3	722	1804289
4	1326	2651476
5	1886	3142676
6	2453	3502938
7	3034	3789702
8	3556	3948351
9	4062	4058888
10	4078	3703396
11	4607	3834863
12	5109	3925421
13	5629	4015092
14	6127	4079080
15	6656	4153598
16	7139	4192309
17	7262	4027556
18	7379	3876453
19	7874	3929599
20	8377	3981109
21	8855	4016165
22	9342	4052560
23	9823	4083309
24	10321	4118371
25	10798	4142627
26	11380	4203569
27	11883	4232120
28	12123	4168376
29	12617	4193236
30	13206	4247013
31	13885	4325207
32	14131	4268190
33	14655	4295883
34	15229	4335945
35	15853	4387890
36	16382	4411322
37	16880	4425436
38	17359	4433792
39	17859	4446980
40	18380	4464739
41	18963	4496236
42	19607	4540342
43	20110	4550346
44	20143	4456193
45	20660	4470790
46	21150	4479003
47	21833	4526732
